site,K
Site6,1.73828125
Site6,1.896296296
Site6,1.749185834
Site6,1.749271137
Site6,2.244897959
Site6,2.244897959
Site6,2.186588921
Site6,1.875
Site6,2.040816327
Site6,2.161170091
Site6,4.100209111
Site6,2.956562874
Site6,2.133591261
Site6,2.12792132
Site6,1.754074074
Site6,2.130826379
Site6,2.00938786
Site6,2.040816327
Site6,1.777777778
Site6,1.70852165
Site6,1.7578125
Site6,1.92
Site6,1.39710829
Site6,1.893491124
Site6,1.799642805
Site6,1.801481481
Site6,1.848888889
Site6,1.878287002
Site6,1.955804184
Site6,1.959631589
Site6,2.142380672
Site6,1.849112426
Site6,1.752117347
Site6,2.121768651
Site6,2.171638402
Site6,2.069970845
Site6,2.099125364
Site6,2.003612864
Site6,2.391581633
Site6,1.959631589
Site6,1.998851941
Site6,2.12792132
Site6,2.040816327
Site6,2.069970845
Site6,2.072927566
Site6,2.099023
Site6,2.12343292
Site6,2.040816327
Site6,1.92
Site6,1.981885114
Site6,1.982507289
Site6,2.062971536
Site6,1.762184843
Site6,2.049927114
Site6,2.50061951
Site6,1.898957445
Site6,2.111970869
Site6,2.001888097
Site6,2.00938786
Site6,1.982507289
Site6,2.174377441
Site6,1.913070095
Site6,1.928428696
Site6,1.953642129
Site6,1.947853188
Site6,2.133582851
Site6,1.929012346
Site6,2.159288669
Site6,2.199586478
Site6,1.98263628
Site6,1.966317706
Site6,2.011673293
Site6,2.056465399
Site6,1.804236179
Site6,1.896346714
Site6,2.049927114
Site6,2.086985558
Site6,2.06995851
Site6,1.97421673
Site6,1.778425656
Site6,2.162629758
Site6,1.714677641
Site6,1.807901903
Site6,2.040816327
Site6,2.072927566
Site6,2.011661808
Site6,2.052202465
Site6,2.069970845
Site6,1.861858836
Site6,1.929904415
Site6,1.690962099
Site6,2.164127424
Site6,2.00938786
Site6,1.812792591
Site6,1.795053155
Site7,2.5872
Site7,1.602201243
Site7,2.467632218
Site7,1.9968
Site7,1.734805219
Site7,1.949246411
Site7,1.886626335
Site7,1.760894065
Site7,1.669474809
Site7,2.616349327
Site7,2.043845196
