site,site_number,location,sample,weight,length
turtle,6,upstream,80,1.12,8.3
turtle,6,upstream,81,2.61,9.9
turtle,6,upstream,82,2.18,10.3
turtle,6,upstream,83,1.24,8.8
turtle,6,upstream,84,1.58,8.4
turtle,6,upstream,85,1.69,8.7
turtle,6,upstream,86,0.91,7.2
turtle,6,upstream,87,1.35,8.8
turtle,6,upstream,88,1.01,8.3
turtle,6,upstream,89,2.03,10.1
turtle,6,upstream,90,0.56,6.9
turtle,6,upstream,91,0.62,7.1
turtle,6,upstream,92,1.33,9.2
turtle,6,upstream,93,1.69,8.8
turtle,6,upstream,94,0.48,6.5
turtle,6,upstream,95,1.89,10.5
turtle,6,upstream,96,0.39,6.2
turtle,6,upstream,97,1.76,10
turtle,6,upstream,98,1.71,10.1
turtle,6,upstream,99,1.5,8.4
turtle,6,upstream,100,0.8,7.9
turtle,6,upstream,101,1.36,8.9
turtle,6,upstream,102,1.25,7.9
turtle,6,upstream,103,0.58,7.7
turtle,6,upstream,104,2.53,10.1
turtle,6,upstream,105,1.46,9.2
turtle,6,upstream,106,0.49,6.6
turtle,6,upstream,107,1.82,10.1
turtle,6,upstream,108,1.95,9.3
turtle,6,upstream,109,1.86,10.1
turtle,6,upstream,110,0.41,6
turtle,6,upstream,111,1.37,9.9
turtle,6,upstream,112,1.7,8.7
turtle,6,upstream,113,2.27,10.5
turtle,6,upstream,114,0.84,8
turtle,6,upstream,115,0.37,6.1
turtle,6,upstream,116,0.64,6.3
turtle,6,upstream,117,0.82,7.7
turtle,6,upstream,118,2.19,10.7
turtle,6,upstream,119,1.25,8.8
turtle,6,upstream,120,2.16,10.4
turtle,6,upstream,121,1.29,8.7
turtle,6,upstream,122,0.67,7.2
turtle,6,upstream,123,0.8,7.5
turtle,6,upstream,124,1.22,8.9
turtle,6,upstream,125,0.59,7.2
turtle,6,upstream,126,2.2,10.6
turtle,6,upstream,127,0.67,7.4
turtle,6,upstream,128,1.16,7.6
turtle,6,upstream,129,2.23,10.9
turtle,6,upstream,130,1.93,9.5
turtle,6,upstream,131,2.19,10.7
turtle,6,upstream,132,2.26,10.9
